,price,Address,area,Bedrooms
1144,3500000.0,Other,860.0,2.0
1145,4500000.0,Other,950.0,2.0
1147,11000000.0,Other,1500.0,3.0
1148,7700000.0,Other,1350.0,2.0
1149,9500000.0,Other,1800.0,3.0
1150,8000000.0,Other,1342.0,2.0
1152,4850000.0,Other,1000.0,2.0
1153,4600000.0,Other,900.0,3.0
1155,3200000.0,Other,850.0,2.0
1156,7000000.0,Other,1400.0,3.0
1159,6600000.0,Other,1300.0,3.0
1160,3800000.0,Other,1050.0,2.0
1163,3500000.0,Other,950.0,2.0
1165,13400000.0,Other,2025.0,3.0
1166,10000000.0,Other,1500.0,2.0
1168,7000000.0,Other,1200.0,3.0
1170,11200000.000000002,Other,1600.0,3.0
1171,10500000.0,Other,1730.0,3.0
1173,2500000.0,Other,675.0,2.0
1175,7500000.0,Other,1420.0,3.0
1176,4800000.0,Other,900.0,2.0
1177,4000000.0,Other,720.0,2.0
1178,4900000.0,Other,900.0,2.0
1181,4960000.0,Other,1000.0,3.0
1183,5300000.0,Other,1000.0,3.0
1184,3400000.0,Other,895.0,2.0
1185,13500000.0,Other,2000.0,3.0
1186,7000000.0,Other,1356.0,2.0
1187,5000000.0,Other,1000.0,3.0
1188,7500000.0,Other,1093.0,2.0
1189,4200000.0,Other,1100.0,2.0
1193,6000000.0,Other,1264.0,2.0
1194,5000000.0,Other,1000.0,3.0
1195,22000000.0,Other,3195.0,3.0
1196,4250000.0,Other,1000.0,2.0
1197,3800000.0,Other,1050.0,2.0
1198,7200000.0,Other,1250.0,2.0
1199,7000000.0,Other,1078.0,2.0
1200,3500000.0,Other,900.0,2.0
1201,4300000.0,Other,850.0,2.0
1202,4000000.0,Other,1025.0,2.0
1203,7800000.0,Other,1495.0,3.0
1204,3200000.0,Other,850.0,2.0
1205,12000000.0,Other,2025.0,3.0
1206,3500000.0,Other,810.0,2.0
1207,4250000.0,Other,900.0,2.0
1208,4000000.0,Other,1025.0,2.0
1209,7000000.0,Other,1175.0,2.0
1210,8000000.0,Other,1457.0,3.0
1211,4500000.0,Other,950.0,2.0
1212,15000000.0,Other,2230.0,4.0
1213,3800000.0,Other,980.0,2.0
1214,3500000.0,Other,850.0,2.0
1216,8000000.0,Other,1600.0,3.0
1217,2600000.0,Other,720.0,2.0
1218,4500000.0,Other,1150.0,2.0
1219,9500000.0,Other,1895.0,3.0
1220,5100000.0,Other,900.0,3.0
1221,5800000.0,Other,1079.0,2.0
1222,4500000.0,Other,900.0,3.0
1224,4500000.0,Other,1300.0,2.0
1225,3600000.0,Other,965.0,2.0
1226,6700000.0,Other,1110.0,2.0
1227,3700000.0,Other,850.0,2.0
1228,3800000.0,Other,1000.0,2.0
1230,9500000.0,Other,1587.0,3.0
1231,13500000.0,Other,1900.0,3.0
1232,5000000.0,Other,900.0,3.0
1233,4200000.0,Other,1050.0,2.0
1234,4200000.0,Other,900.0,2.0
1236,5200000.0,Other,1041.0,2.0
1237,7500000.0,Other,1150.0,3.0
1238,4000000.0,Other,700.0,2.0
1239,5000000.0,Other,1000.0,3.0
1240,4450000.0,Other,900.0,2.0
1241,17500000.0,Other,2500.0,4.0
1244,4950000.0,Other,1150.0,2.0
1245,10500000.0,Other,1700.0,3.0
1246,3700000.0,Other,810.0,2.0
1247,10500000.0,Other,1578.0,3.0
1249,5500000.0,Other,1310.0,2.0
1251,3200000.0,Other,900.0,2.0
1254,5000000.0,Other,1000.0,3.0
1255,6000000.0,Other,900.0,3.0
1256,8500000.0,Other,1219.0,2.0
1257,11000000.0,Other,2158.0,3.0
1258,9000000.0,Other,1640.0,3.0
1259,6000000.0,Other,1062.0,2.0
1260,5500000.0,Other,950.0,2.0
1261,5200000.0,Other,1105.0,2.0
1262,5600000.0,Other,1030.0,2.0
1263,2720000.0,Other,600.0,2.0
1265,4450000.0,Other,1195.0,2.0
1266,5500000.0,Other,1300.0,2.0
1267,7200000.0,Other,1080.0,2.0
1268,4400000.0,Other,1164.0,2.0
1269,5900000.0,Other,1255.0,2.0
1270,3750000.0,Other,1075.0,2.0
1271,4500000.0,Other,1200.0,2.0
1272,9500000.0,Other,1650.0,3.0
1273,7000000.0,Other,1000.0,3.0
1276,12000000.0,Other,1800.0,3.0
1279,7000000.0,Other,1050.0,3.0
1280,5500000.0,Other,1050.0,2.0
1281,6800000.0,Other,900.0,2.0
1282,5000000.0,Other,1065.0,2.0
1283,8500000.0,Other,1422.0,2.0
1284,3000000.0,Other,780.0,2.0
1285,35500000.0,Other,5500.0,4.0
1286,4000000.0,Other,725.0,2.0
1287,4000000.0,Other,765.0,2.0
1288,4500000.0,Other,1150.0,2.0
1289,11000000.0,Other,1865.0,3.0
1290,3500000.0,Other,700.0,2.0
1291,8000000.0,Other,1326.0,3.0
1293,8500000.0,Other,1250.0,3.0
1294,3500000.0,Other,900.0,2.0
1295,12000000.0,Other,1870.0,3.0
1297,5000000.0,Other,900.0,2.0
1299,3900000.0,Other,810.0,2.0
1300,3620000.000000001,Other,960.0,2.0
1301,6000000.0,Other,900.0,3.0
1303,4000000.0,Other,935.0,2.0
1304,7509999.999999999,Other,1295.0,2.0
1305,4370000.0,Other,720.0,2.0
1306,2600000.0,Other,750.0,2.0
1307,8200000.0,Other,1050.0,2.0
1308,2900000.0,Other,851.0,2.0
1309,4500000.0,Other,1275.0,2.0
1310,4000000.0,Other,650.0,2.0
1311,5400000.0,Other,1300.0,2.0
1312,6700000.0,Other,1218.0,2.0
1314,4800000.0,Other,1350.0,2.0
1316,4900000.0,Other,1000.0,2.0
1318,5300000.0,Other,942.0,2.0
1319,3900000.0,Other,720.0,2.0
1320,10100000.0,Other,1895.0,3.0
1321,9500000.0,Other,1572.0,3.0
1322,5400000.0,Other,900.0,2.0
1324,3500000.0,Other,990.0,2.0
1325,4100000.0,Other,750.0,2.0
1326,8050000.0,Other,1224.0,2.0
1327,6800000.0,Other,1150.0,2.0
1329,6700000.0,Other,980.0,2.0
1330,2600000.0,Other,600.0,2.0
1331,6500000.0,Other,900.0,3.0
1332,2550000.0,Other,720.0,2.0
1334,14000000.0,Other,2193.0,4.0
1335,3800000.0,Other,1105.0,2.0
1336,3400000.0,Other,835.0,2.0
1337,7500000.0,Other,1100.0,3.0
1339,3950000.0,Other,1050.0,2.0
1340,4000000.0,Other,750.0,2.0
1341,10000000.0,Other,1395.0,3.0
1343,6800000.0,Other,1200.0,2.0
1344,11500000.0,Other,1400.0,3.0
1345,5600000.0,Other,1300.0,2.0
1346,5500000.0,Other,1320.0,2.0
1347,11200000.000000002,Other,1802.0,3.0
1348,19000000.0,Other,3350.0,4.0
1349,12000000.0,Other,1800.0,3.0
1351,6000000.0,Other,1157.0,2.0
1353,7000000.0,Other,900.0,2.0
1354,3500000.0,Other,876.0,2.0
1355,12500000.0,Other,1615.0,3.0
1356,3500000.0,Other,600.0,2.0
1358,11500000.0,Other,1675.0,3.0
1359,3200000.0,Other,750.0,2.0
1361,4500000.0,Other,1157.0,2.0
1362,11000000.0,Other,1930.0,3.0
1363,4170000.000000001,Other,1190.0,2.0
1364,4500000.0,Other,900.0,3.0
1365,3750000.0,Other,800.0,2.0
1367,3000000.0,Other,750.0,2.0
1368,7000000.0,Other,1400.0,3.0
1369,7000000.0,Other,1050.0,2.0
1370,3500000.0,Other,870.0,2.0
1371,9000000.0,Other,1295.0,3.0
1373,4300000.0,Other,850.0,2.0
1375,9500000.0,Other,1415.0,2.0
1376,7500000.0,Other,1340.0,3.0
1377,4200000.0,Other,925.0,2.0
1378,12500000.0,Other,2000.0,3.0
1381,8800000.0,Other,1779.0,3.0
1382,7500000.0,Other,940.0,2.0
1383,10500000.0,Other,1789.0,3.0
1384,7200000.0,Other,1340.0,3.0
1385,8000000.0,Other,1080.0,3.0
1388,3400000.0,Other,760.0,2.0
1390,4500000.0,Other,950.0,2.0
1391,3800000.0,Other,800.0,2.0
1392,7000000.0,Other,1316.0,2.0
1393,3500000.0,Other,840.0,2.0
1395,2900000.0,Other,600.0,2.0
1397,4200000.0,Other,720.0,2.0
1399,5800000.0,Other,900.0,3.0
1400,7000000.0,Other,927.0,3.0
1401,4200000.0,Other,855.0,2.0
1402,3500000.0,Other,880.0,2.0
1405,16000000.0,Other,2000.0,4.0
1406,12000000.0,Other,2193.0,4.0
1407,10000000.0,Other,1650.0,3.0
1408,13500000.0,Other,2433.0,4.0
1409,9500000.0,Other,1530.0,3.0
1411,5100000.0,Other,1040.0,2.0
1412,15000000.0,Other,2500.0,4.0
1413,2700000.0,Other,700.0,2.0
1414,3000000.0,Other,800.0,2.0
1415,3200000.0,Other,750.0,2.0
1416,5000000.0,Other,850.0,2.0
1417,3200000.0,Other,800.0,2.0
1418,6700000.0,Other,1095.0,2.0
1419,9500000.0,Other,1850.0,3.0
1420,5700000.0,Other,1030.0,2.0
1421,4700000.0,Other,895.0,2.0
1422,8000000.0,Other,1000.0,2.0
1423,38000000.0,Other,4700.0,6.0
1424,5900000.0,Other,900.0,2.0
1425,8000000.0,Other,1198.0,2.0
1426,6700000.0,Other,1280.0,2.0
1427,10500000.0,Other,1407.0,4.0
1428,3500000.0,Other,850.0,2.0
1429,5500000.0,Other,950.0,2.0
1432,7800000.0,Other,1385.0,2.0
1434,4500000.0,Other,1035.0,2.0
1435,9200000.0,Other,1305.0,2.0
1436,4000000.0,Other,1150.0,2.0
1437,7000000.0,Other,900.0,3.0
1438,3500000.0,Other,802.0,2.0
1439,4000000.0,Other,1000.0,2.0
1440,4000000.0,Other,720.0,2.0
1441,3600000.0,Other,850.0,2.0
1442,3500000.0,Other,891.0,2.0
1443,3300000.0,Other,720.0,2.0
1444,8500000.0,Other,1300.0,3.0
1446,3200000.0,Other,820.0,2.0
1447,5400000.0,Other,1135.0,2.0
1448,9000000.0,Other,1650.0,3.0
1449,11000000.0,Other,1629.0,3.0
1450,4000000.0,Other,660.0,2.0
1451,2700000.0,Other,624.0,2.0
1452,8500000.0,Other,1680.0,3.0
1453,4000000.0,Other,720.0,2.0
1454,11500000.0,Other,1800.0,4.0
1457,6000000.0,Other,1675.0,2.0
1458,7500000.0,Other,1370.0,2.0
1459,10500000.0,Other,1785.0,3.0
1460,8000000.0,Other,1400.0,3.0
1461,3500000.0,Other,995.0,2.0
1464,5500000.0,Other,1246.0,2.0
1465,35000000.0,Other,4259.0,4.0
1466,3500000.0,Other,750.0,2.0
1467,10000000.0,Other,1500.0,4.0
1468,5000000.0,Other,1020.0,2.0
1471,13500000.0,Other,1800.0,3.0
1472,7600000.0,Other,1145.0,2.0
1473,8870000.0,Other,1690.0,3.0
1474,19000000.0,Other,2400.0,4.0
1475,18200000.0,Other,2200.0,3.0
1476,11600000.0,Other,1600.0,2.0
1478,10000000.0,Other,1743.0,3.0
1479,6300000.0,Other,916.0,2.0
1481,3500000.0,Other,1000.0,2.0
1482,5200000.0,Other,1225.0,2.0
1483,8000000.0,Other,1605.0,3.0
1484,14500000.0,Other,2100.0,3.0
1485,4960000.0,Other,1150.0,2.0
1486,4500000.0,Other,675.0,2.0
1489,32500000.0,Other,4300.0,4.0
1490,10500000.0,Other,1545.0,3.0
1491,5500000.0,Other,950.0,2.0
1495,6500000.0,Other,1250.0,2.0
